epoch,total_loss,loss_supervised,loss_kd,loss_feat,val_miou
1,44.149573,26.308194,16.948664,1.785430,0.267443
2,24.198448,18.375526,5.414341,0.817162,0.408879
3,21.943942,16.626706,5.025384,0.583703,0.485471
4,20.628330,15.610387,4.777522,0.480841,0.447882
5,19.487831,14.827779,4.457333,0.405437,0.470879
6,18.905880,14.224784,4.495876,0.370439,0.434858
7,18.160408,13.712712,4.272040,0.351311,0.462692
8,17.556833,13.245245,4.143516,0.336146,0.450202
9,16.636146,12.607631,3.874109,0.308812,0.480235
10,16.286650,12.185764,3.946771,0.308231,0.444959
11,15.618776,11.630159,3.844599,0.288037,0.458438
12,15.068341,11.085866,3.841090,0.282770,0.458178
13,14.522696,10.679742,3.701270,0.283370,0.469671
14,14.035211,10.276473,3.622949,0.271577,0.455564
15,13.478132,9.832609,3.512024,0.266999,0.440960
16,13.253434,9.506391,3.617489,0.259108,0.451435
17,12.726656,9.108766,3.488915,0.257949,0.458611
18,12.393542,8.808276,3.462315,0.245903,0.452357
19,11.993818,8.535085,3.339292,0.238884,0.454357
20,11.782709,8.255529,3.407357,0.239646,0.451003
21,11.305532,8.011316,3.177475,0.233484,0.453738
22,11.178688,7.850205,3.210734,0.235499,0.457551
23,10.995070,7.643028,3.238284,0.227516,0.453623
24,10.620823,7.418652,3.089726,0.224891,0.449533
25,10.328000,7.227200,2.992963,0.215675,0.453727
26,10.102159,7.060116,2.935383,0.213320,0.452844
27,9.855107,6.897757,2.852772,0.209155,0.454056
28,9.630058,6.764739,2.760372,0.209893,0.438534
29,9.607714,6.673669,2.830954,0.206182,0.451328
30,9.303100,6.522330,2.680199,0.201144,0.445434
31,9.217994,6.412266,2.705896,0.199664,0.443611
32,9.001006,6.326239,2.574888,0.199756,0.443898
33,8.809480,6.247288,2.463933,0.196519,0.446942
34,8.830015,6.183152,2.547470,0.198786,0.452114
35,8.657739,6.120871,2.439359,0.195020,0.450231
36,8.614389,6.080899,2.436585,0.193810,0.450092
37,8.530333,6.048289,2.385114,0.193861,0.442606
38,8.484256,6.024334,2.363771,0.192303,0.444044
39,8.567014,6.012579,2.458872,0.191127,0.442457
40,8.524941,5.994115,2.434646,0.192359,0.443647
