epoch,train_loss,val_miou
1,28.580820,0.238307
2,20.802484,0.382077
3,25.016584,0.173247
4,23.718157,0.360312
5,20.934376,0.382237
6,18.514238,0.410658
7,17.268044,0.396500
8,15.613118,0.472637
9,14.871267,0.513521
10,14.031511,0.496413
11,12.975971,0.526477
12,12.314775,0.495296
13,11.620402,0.515542
14,11.008772,0.511487
15,10.428707,0.511301
16,9.930922,0.505631
17,9.441016,0.523593
18,9.076193,0.509406
19,8.703712,0.502948
20,8.376745,0.511867
21,8.044817,0.524848
22,7.803028,0.515992
23,7.597642,0.516801
24,7.413730,0.510924
25,7.249441,0.503800
26,7.128854,0.504602
27,7.047571,0.506089
28,6.974234,0.506364
29,6.888820,0.504073
30,6.907350,0.504975
